route_id;origin;destination;demand_per_sec
rocca-airport;317217122#0;177513127#0;0.271111
rocca-centre;317217122#0;-182653;0.041944
rocca-tty;317217122#0;-182723;0.013889
rocca-rocca;317217122#0;317209213;0.002778
airport-rocca;-183577;317209213;0.267222
airport-centre;-183577;-182653;0.058333
airport-tty;-183577;-182723;0.127778
airport-airport;-183577;177513127#0;0.002778
tty-centre;-182707;-182653;0.2775
tty-rocca;-182707;317209213;0.020556
tty-airport;-182707;177513127#0;0.135
tty-tty;-182707;-182723;0.002778
centre-tty;-182559;-182723;0.184722
centre-rocca;-182559;317209213;0.024167
centre-airport;-182559;177513127#0;0.090278
centre-centre;-182559;-182653;0.002778